id;ccode1;ccode2;year;trade1;trade2
32721;40;230;2009;711.9;163.23
32738;40;232;2009;-9;-9
32844;40;235;2009;17.17;26.51
32906;40;255;2009;-9;-9
33066;40;290;2009;13.28;0.88
33156;40;305;2009;22.77;2.25
33248;40;310;2009;1.41;0.23
33335;40;316;2009;10.13;1.06
33352;40;317;2009;11.32;1.01
33458;40;325;2009;283.07;31.35
33476;40;331;2009;-9;-9
33522;40;338;2009;0;0.07
33614;40;339;2009;0;0.08
33617;40;341;2009;-9;-9
33634;40;343;2009;0.01;1.45
33652;40;344;2009;2.94;7.04
33771;40;346;2009;-9;-9
33773;40;347;2009;-9;-9
33791;40;349;2009;1.97;0.04
33895;40;350;2009;0.13;3.1
33945;40;352;2009;0;4.87
34046;40;355;2009;7.83;10.51
34065;40;359;2009;0;0.29
34171;40;360;2009;0.17;0.78
34277;40;365;2009;185.43;69.48
34319;40;366;2009;0.25;60.46
34361;40;367;2009;0.04;0.01
34403;40;368;2009;1.15;0.04
34422;40;369;2009;14.99;3.4
34441;40;370;2009;16.68;0.86
34460;40;371;2009;0;0.05
34479;40;372;2009;0;0.2
34498;40;373;2009;0.27;0.01
34591;40;375;2009;3.14;7.39
34697;40;380;2009;20.39;1.01
34796;40;385;2009;0.82;1.32
34898;40;390;2009;22.23;1.29
34964;40;395;2009;0.23;0.1
34999;40;402;2009;0;0.08
35034;40;403;2009;-9;-9
35070;40;404;2009;0;9.33
35112;40;411;2009;-9;-9
35157;40;420;2009;0;0.09
35207;40;432;2009;0;0
35257;40;433;2009;0;0.29
35307;40;434;2009;0;0
35357;40;435;2009;0;0.07
35407;40;436;2009;0;0
35457;40;437;2009;0;0.3
35509;40;438;2009;-9;0.01
35559;40;439;2009;-9;0
35649;40;450;2009;0;0
35698;40;451;2009;-9;0
35751;40;452;2009;45.85;49.52
35801;40;461;2009;0;0
35851;40;471;2009;0;0
35901;40;475;2009;0;0.45
35951;40;481;2009;0;0
36001;40;482;2009;0;0
36051;40;483;2009;0;0
36101;40;484;2009;0;0
36151;40;490;2009;-9;0
36199;40;500;2009;0.12;0
36246;40;501;2009;-9;-9
36295;40;510;2009;0;0
36345;40;516;2009;0;0
36393;40;517;2009;0;0
36443;40;520;2009;0;0
36476;40;522;2009;-9;-9
36578;40;530;2009;0;0.01
36595;40;531;2009;-9;-9
36630;40;540;2009;-9;0
36665;40;541;2009;0;0
36711;40;551;2009;0;0
36756;40;552;2009;0;0
36802;40;553;2009;-9;-9
36892;40;560;2009;0.14;3.43
36912;40;565;2009;-9;-9
36956;40;570;2009;-9;-9
37000;40;571;2009;-9;-9
37042;40;572;2009;-9;-9
37092;40;580;2009;0;0.09
37127;40;581;2009;-9;0
37169;40;590;2009;0;0.16
37203;40;591;2009;0;0
37265;40;600;2009;11.48;2.6
37313;40;615;2009;200.6;1.61
37367;40;616;2009;0.04;0.82
37426;40;620;2009;52.88;1.08
37480;40;625;2009;0;0
37586;40;630;2009;0;0.54
37692;40;640;2009;11.59;1.65
37770;40;645;2009;0;0
37843;40;651;2009;0.45;0.14
37905;40;652;2009;0.52;0
37969;40;660;2009;0;0.63
